date,title,notes,bunting,source,source_url
2010-01-01,New Year's Day,,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2010-04-02,Good Friday,,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2010-04-05,Easter Monday,,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2010-05-03,Early May bank holiday,,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2010-05-31,Spring bank holiday,,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2010-08-30,Summer bank holiday,,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2010-12-27,Christmas Day,Substitute day,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2010-12-28,Boxing Day,Substitute day,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2011-01-03,New Year's Day,Substitute day,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2011-04-22,Good Friday,,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2011-04-25,Easter Monday,,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2011-04-29,Royal wedding,Extra bank holiday,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2011-05-02,Early May bank holiday,,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2011-05-30,Spring bank holiday,,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2011-08-29,Summer bank holiday,,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2011-12-26,Christmas Day,Substitute day,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2011-12-27,Boxing Day,Substitute day,,"Directgov (archived 2011-01-06), transcribed",https://web.archive.org/web/20110106104158/http://www.direct.gov.uk/en/Governmentcitizensandrights/LivingintheUK/DG_073741
2012-01-02,New Year's Day,Substitute day,TRUE,gov.uk bank-holidays.json (archived 2018-12-03),https://web.archive.org/web/20181203062756id_/https://www.gov.uk/bank-holidays.json
2012-04-06,Good Friday,,FALSE,gov.uk bank-holidays.json (archived 2018-12-03),https://web.archive.org/web/20181203062756id_/https://www.gov.uk/bank-holidays.json
2012-04-09,Easter Monday,,TRUE,gov.uk bank-holidays.json (archived 2018-12-03),https://web.archive.org/web/20181203062756id_/https://www.gov.uk/bank-holidays.json
2012-05-07,Early May bank holiday,,TRUE,gov.uk bank-holidays.json (archived 2018-12-03),https://web.archive.org/web/20181203062756id_/https://www.gov.uk/bank-holidays.json
2012-06-04,Spring bank holiday,Substitute day,TRUE,gov.uk bank-holidays.json (archived 2018-12-03),https://web.archive.org/web/20181203062756id_/https://www.gov.uk/bank-holidays.json
2012-06-05,Queen's Diamond Jubilee,Extra bank holiday,TRUE,gov.uk bank-holidays.json (archived 2018-12-03),https://web.archive.org/web/20181203062756id_/https://www.gov.uk/bank-holidays.json
2012-08-27,Summer bank holiday,,TRUE,gov.uk bank-holidays.json (archived 2018-12-03),https://web.archive.org/web/20181203062756id_/https://www.gov.uk/bank-holidays.json
2012-12-25,Christmas Day,,TRUE,gov.uk bank-holidays.json (archived 2018-12-03),https://web.archive.org/web/20181203062756id_/https://www.gov.uk/bank-holidays.json
2012-12-26,Boxing Day,,TRUE,gov.uk bank-holidays.json (archived 2018-12-03),https://web.archive.org/web/20181203062756id_/https://www.gov.uk/bank-holidays.json
