force_id,name,pfa_code,pfa_name,country,notes
avon-and-somerset,Avon and Somerset Constabulary,E23000036,Avon and Somerset,england,
bedfordshire,Bedfordshire Police,E23000026,Bedfordshire,england,
btp,British Transport Police,,,,No police force area. Records carry British Transport Police in both Reported by and Falls within; no outcomes data.
cambridgeshire,Cambridgeshire Constabulary,E23000023,Cambridgeshire,england,
cheshire,Cheshire Constabulary,E23000006,Cheshire,england,
city-of-london,City of London Police,E23000034,"London, City of",england,
cleveland,Cleveland Police,E23000013,Cleveland,england,
cumbria,Cumbria Constabulary,E23000002,Cumbria,england,
derbyshire,Derbyshire Constabulary,E23000018,Derbyshire,england,
devon-and-cornwall,Devon & Cornwall Police,E23000035,Devon & Cornwall,england,
dorset,Dorset Police,E23000039,Dorset,england,
durham,Durham Constabulary,E23000008,Durham,england,
dyfed-powys,Dyfed-Powys Police,W15000004,Dyfed-Powys,wales,
essex,Essex Police,E23000028,Essex,england,
gloucestershire,Gloucestershire Constabulary,E23000037,Gloucestershire,england,
greater-manchester,Greater Manchester Police,E23000005,Greater Manchester,england,No data submitted since 2019; absent from recent archive snapshots.
gwent,Gwent Police,W15000002,Gwent,wales,
hampshire,Hampshire Constabulary,E23000030,Hampshire,england,
hertfordshire,Hertfordshire Constabulary,E23000027,Hertfordshire,england,
humberside,Humberside Police,E23000012,Humberside,england,
kent,Kent Police,E23000032,Kent,england,
lancashire,Lancashire Constabulary,E23000003,Lancashire,england,
leicestershire,Leicestershire Police,E23000021,Leicestershire,england,
lincolnshire,Lincolnshire Police,E23000020,Lincolnshire,england,
merseyside,Merseyside Police,E23000004,Merseyside,england,
metropolitan,Metropolitan Police Service,E23000001,Metropolitan Police,england,
norfolk,Norfolk Constabulary,E23000024,Norfolk,england,
north-wales,North Wales Police,W15000001,North Wales,wales,
north-yorkshire,North Yorkshire Police,E23000009,North Yorkshire,england,
northamptonshire,Northamptonshire Police,E23000022,Northamptonshire,england,
northern-ireland,Police Service of Northern Ireland,N23000001,Police Service of Northern Ireland,northern_ireland,Street files from September 2011; no outcomes data.
northumbria,Northumbria Police,E23000007,Northumbria,england,
nottinghamshire,Nottinghamshire Police,E23000019,Nottinghamshire,england,
south-wales,South Wales Police,W15000003,South Wales,wales,
south-yorkshire,South Yorkshire Police,E23000011,South Yorkshire,england,
staffordshire,Staffordshire Police,E23000015,Staffordshire,england,
suffolk,Suffolk Constabulary,E23000025,Suffolk,england,
surrey,Surrey Police,E23000031,Surrey,england,
sussex,Sussex Police,E23000033,Sussex,england,
thames-valley,Thames Valley Police,E23000029,Thames Valley,england,
warwickshire,Warwickshire Police,E23000017,Warwickshire,england,
west-mercia,West Mercia Police,E23000016,West Mercia,england,
west-midlands,West Midlands Police,E23000014,West Midlands,england,
west-yorkshire,West Yorkshire Police,E23000010,West Yorkshire,england,
wiltshire,Wiltshire Police,E23000038,Wiltshire,england,
